Date,Open,High,Low,Close,Adj Close,Volume
"May 13, 2025",2.75,2.81,2.74,2.775,2.775,"2,931,842"
"May 12, 2025",2.79,2.84,2.72,2.73,2.73,"8,736,700"
"May 9, 2025",2.73,2.78,2.69,2.73,2.73,"8,517,400"
"May 8, 2025",2.69,2.79,2.65,2.7,2.7,"10,674,100"
"May 7, 2025",2.69,2.73,2.66,2.71,2.71,"8,545,600"
"May 6, 2025",2.64,2.72,2.62,2.68,2.68,"6,745,600"
"May 5, 2025",2.65,2.67,2.57,2.64,2.64,"6,193,000"
"May 2, 2025",2.65,2.71,2.65,2.68,2.68,"7,793,000"
"May 1, 2025",2.68,2.69,2.63,2.65,2.65,"8,140,600"
"Apr 30, 2025",2.65,2.67,2.53,2.67,2.67,"9,621,100"
"Apr 29, 2025",2.72,2.75,2.66,2.68,2.68,"6,546,300"
"Apr 28, 2025",2.71,2.76,2.7,2.72,2.72,"5,703,000"
"Apr 25, 2025",2.71,2.73,2.7,2.71,2.71,"5,428,200"
"Apr 24, 2025",2.69,2.76,2.68,2.71,2.71,"6,191,100"
"Apr 23, 2025",2.79,2.83,2.69,2.71,2.71,"7,580,100"
"Apr 22, 2025",2.73,2.76,2.68,2.72,2.72,"6,926,300"
"Apr 21, 2025",2.75,2.8,2.65,2.69,2.69,"6,815,800"
"Apr 17, 2025",2.81,2.83,2.76,2.78,2.78,"5,704,900"
"Apr 16, 2025",2.9,2.93,2.77,2.8,2.8,"7,203,200"
"Apr 15, 2025",2.88,2.96,2.86,2.96,2.96,"5,017,100"
"Apr 14, 2025",2.97,3,2.85,2.88,2.88,"6,260,500"
"Apr 11, 2025",2.93,2.97,2.86,2.95,2.95,"6,018,800"
"Apr 10, 2025",2.84,2.95,2.79,2.92,2.92,"8,195,100"
"Apr 9, 2025",2.63,2.93,2.62,2.89,2.89,"12,893,600"
"Apr 8, 2025",2.82,2.85,2.62,2.65,2.65,"8,447,400"
"Apr 7, 2025",2.65,2.96,2.56,2.75,2.75,"18,983,000"
"Apr 4, 2025",2.6,2.68,2.45,2.65,2.65,"15,543,800"
"Apr 3, 2025",2.68,2.7,2.61,2.64,2.64,"9,533,200"
"Apr 2, 2025",2.74,2.79,2.7,2.75,2.75,"7,265,300"
"Apr 1, 2025",2.86,2.88,2.72,2.78,2.78,"9,277,300"
"Mar 31, 2025",2.81,2.92,2.79,2.87,2.87,"6,047,400"
"Mar 28, 2025",2.9,2.96,2.85,2.88,2.88,"6,577,000"
"Mar 27, 2025",3,3.01,2.91,2.96,2.96,"7,067,400"
"Mar 26, 2025",3.1,3.18,3.03,3.03,3.03,"8,835,500"
"Mar 25, 2025",3.08,3.1,3.05,3.07,3.07,"6,142,100"
"Mar 24, 2025",3.06,3.09,3.04,3.08,3.08,"7,171,400"
"Mar 21, 2025",2.98,3.06,2.95,3.04,3.04,"15,405,900"
"Mar 20, 2025",3.03,3.07,2.98,2.99,2.99,"6,661,700"
"Mar 19, 2025",3.03,3.1,3.02,3.04,3.04,"6,544,500"
"Mar 18, 2025",2.98,3.07,2.98,3.02,3.02,"6,063,200"
"Mar 17, 2025",2.91,3.05,2.91,3.01,3.01,"7,618,500"
"Mar 14, 2025",2.88,3,2.86,2.9,2.9,"7,900,100"
"Mar 13, 2025",2.95,2.97,2.82,2.84,2.84,"8,181,800"
"Mar 12, 2025",2.99,3.03,2.94,2.94,2.94,"5,693,000"
"Mar 11, 2025",2.98,3.07,2.96,2.97,2.97,"7,809,900"
"Mar 10, 2025",2.99,3.1,2.97,2.98,2.98,"9,339,600"
"Mar 7, 2025",2.97,3.08,2.97,3.06,3.06,"6,612,100"
