Date,Open,High,Low,Close,Adj Close,Volume
"May 13, 2025",43.42,44.49,43.42,44.28,44.28,"43,224,000"
"May 12, 2025",43.32,43.96,42.94,43.36,43.36,"44,875,100"
"May 9, 2025",41.73,41.98,41.69,41.79,41.79,"27,222,800"
"May 8, 2025",41.29,42.15,41.25,41.6,41.6,"41,861,700"
"May 7, 2025",41.04,41.34,40.86,40.93,40.93,"30,925,900"
"May 6, 2025",40.65,41.27,40.56,40.84,40.84,"29,541,800"
"May 5, 2025",40.85,41.49,40.62,41.12,41.12,"32,829,200"
"May 2, 2025",40.91,41.23,40.7,41.07,41.07,"41,613,000"
"May 1, 2025",39.82,40.44,39.58,40.17,40.17,"33,569,100"
"Apr 30, 2025",39.36,40,38.82,39.88,39.88,"40,994,600"
"Apr 29, 2025",39.63,40.14,39.48,39.99,39.99,"33,792,500"
"Apr 28, 2025",39.8,40.08,39.46,39.78,39.78,"37,428,000"
"Apr 25, 2025",39.54,39.79,39.32,39.69,39.69,"32,694,200"
"Apr 24, 2025",38.66,39.7,38.6,39.58,39.58,"42,457,100"
"Apr 23, 2025",39.41,40.13,38.67,38.75,38.75,"54,428,400"
"Apr 22, 2025",37.57,38.49,37.4,38.32,38.32,"42,288,900"
"Apr 21, 2025",37.07,37.28,36.49,36.92,36.92,"34,928,300"
"Apr 17, 2025",37.51,37.87,37.24,37.41,37.41,"47,063,400"
"Apr 16, 2025",37.86,38.16,36.97,37.33,37.33,"52,872,700"
"Apr 15, 2025",37.8,38.75,37.8,37.99,37.99,"84,677,800"
"Apr 14, 2025",36.49,36.99,36.27,36.67,36.67,"46,830,600"
"Apr 11, 2025",35.2,36.23,34.81,35.95,35.95,"63,671,900"
"Apr 10, 2025",36.32,36.4,34.63,35.85,35.85,"90,451,800"
"Apr 9, 2025",34.05,37.85,33.07,37.15,37.15,"161,173,500"
"Apr 8, 2025",36.86,37.33,34.33,35.03,35.03,"79,116,300"
"Apr 7, 2025",34.97,36.63,33.54,35.58,35.58,"137,329,100"
"Apr 4, 2025",35.29,35.79,33.67,34.39,34.39,"107,761,200"
"Apr 3, 2025",38.63,38.84,37.02,37.22,37.22,"115,497,900"
