Date,Open,High,Low,Close,Adj Close,Volume
"May 13, 2025",47.3,47.63,46.51,46.59,46.59,"16,883,200"
"May 12, 2025",46.2,48.42,45.5,48.18,48.18,"25,598,900"
"May 9, 2025",46.9,47.12,46.32,46.45,46.45,"14,915,400"
"May 8, 2025",47,47.4,46.52,46.88,46.88,"23,404,000"
"May 7, 2025",47.78,48.19,47.28,47.62,47.62,"15,921,800"
"May 6, 2025",49.74,49.8,47.4,47.57,47.57,"18,517,500"
"May 5, 2025",50.47,50.6,49.34,50.06,50.06,"12,394,600"
"May 2, 2025",50.11,50.65,49.68,50.57,50.57,"14,167,200"
"May 1, 2025",49.57,50.18,48.69,49.61,49.61,"17,163,100"
"Apr 30, 2025",50.19,50.35,49.15,50.2,50.2,"15,951,600"
"Apr 29, 2025",48.33,49.48,48.15,49.22,49.22,"19,932,800"
"Apr 28, 2025",48.31,48.86,47.92,48.46,48.46,"18,574,700"
"Apr 25, 2025",48.87,48.95,46.96,47.9,47.9,"16,298,800"
"Apr 24, 2025",47.94,48.84,46.93,48.69,48.69,"20,579,300"
"Apr 23, 2025",47.63,49.33,47.54,48.53,48.53,"24,036,600"
"Apr 22, 2025",49.31,50.06,48.88,49.82,49.82,"13,376,000"
"Apr 21, 2025",49.35,49.67,48.16,48.94,48.94,"10,338,700"
"Apr 17, 2025",49.18,50.09,49.06,49.23,49.23,"14,244,100"
"Apr 16, 2025",50.1,50.4,48.84,49.36,49.36,"14,991,000"
"Apr 15, 2025",51.22,51.5,49.67,50,50,"15,684,400"
"Apr 14, 2025",51.53,51.6,50.55,51.34,51.34,"14,310,300"
"Apr 11, 2025",50.47,51.01,49.29,50.71,50.71,"13,411,300"
"Apr 10, 2025",53.33,53.42,48.82,50.46,50.46,"23,973,300"
"Apr 9, 2025",51.2,54.05,49.92,53.74,53.74,"24,323,900"
"Apr 8, 2025",55.17,55.77,52.16,53.07,53.07,"16,335,100"
"Apr 7, 2025",53.9,55.3,52.69,55.19,55.19,"16,820,500"
"Apr 4, 2025",56.82,57.17,54.72,55.3,55.3,"14,657,900"
"Apr 3, 2025",60.6,60.8,57.66,57.82,57.2,"13,246,900"
"Apr 2, 2025",59.81,60.24,59.16,59.6,58.96,"8,310,000"
"Apr 1, 2025",60.77,61.1,59.24,59.55,58.91,"9,623,800"
"Mar 31, 2025",59.8,61.64,59.37,60.99,60.34,"11,615,900"
"Mar 28, 2025",59.4,60.11,58.23,60.02,59.38,"10,791,600"
"Mar 27, 2025",59.18,59.56,58.77,58.9,58.27,"8,751,200"
"Mar 26, 2025",59.32,59.69,58.53,59.21,58.58,"11,579,500"
"Mar 25, 2025",61.21,61.49,59.18,59.19,58.56,"10,969,100"
"Mar 24, 2025",60.79,61.25,59.97,61.05,60.4,"11,976,800"
"Mar 21, 2025",60.23,61.34,59.84,61.07,60.42,"25,865,100"
"Mar 20, 2025",59.86,61.07,59.78,60.42,59.77,"12,197,400"
"Mar 19, 2025",59.86,60.55,59.46,60.08,59.44,"8,304,200"
"Mar 18, 2025",59.88,60.26,59.54,59.9,59.26,"9,967,900"
"Mar 17, 2025",59.16,60.13,58.36,59.99,59.35,"9,666,800"
"Mar 14, 2025",59.84,59.99,58.72,59.01,58.38,"11,905,700"
