Date,Open,High,Low,Close,Adj Close,Volume
"May 12, 2025",157.49,159.1,156.25,158.46,158.46,"44,072,800"
"May 9, 2025",154.17,155.05,152.2,152.75,152.75,"32,435,300"
"May 8, 2025",155,155.93,152.9,154.28,154.28,"57,498,700"
"May 7, 2025",164.08,165,147.84,151.38,151.38,"127,490,100"
"May 6, 2025",162.17,164.8,161.19,163.23,163.23,"21,277,200"
"May 5, 2025",163,165.39,162.72,164.21,164.21,"21,341,800"
"May 2, 2025",163.41,164.97,161.87,164.03,164.03,"25,715,000"
"May 1, 2025",160.45,161.95,158.91,161.3,161.3,"30,203,200"
"Apr 30, 2025",157.98,159.27,155.4,158.8,158.8,"34,981,100"
"Apr 29, 2025",160.32,160.74,157.52,160.16,160.16,"26,809,000"
"Apr 28, 2025",162.43,163.15,158.6,160.61,160.61,"29,745,800"
"Apr 25, 2025",165.07,166.1,161.04,161.96,161.96,"56,034,000"
"Apr 24, 2025",156.15,159.59,155.79,159.28,159.28,"45,894,000"
"Apr 23, 2025",155.61,157.53,153.81,155.35,155.35,"31,128,800"
"Apr 22, 2025",148.89,152.19,148.54,151.47,151.47,"26,971,800"
"Apr 21, 2025",148.88,148.95,146.1,147.67,147.67,"26,049,100"
"Apr 17, 2025",154.29,154.68,148.5,151.16,151.16,"32,938,500"
"Apr 16, 2025",153.1,155.89,151.51,153.33,153.33,"28,187,400"
"Apr 15, 2025",159.13,159.65,155.21,156.31,156.31,"27,551,500"
"Apr 14, 2025",160,161.72,157.56,159.07,159.07,"30,333,000"
"Apr 11, 2025",152.9,157.67,152.82,157.14,157.14,"33,636,200"
"Apr 10, 2025",156.54,157.72,149.93,152.82,152.82,"48,022,000"
"Apr 9, 2025",144.42,159.55,143.91,158.71,158.71,"70,406,200"
"Apr 8, 2025",151.22,152.24,143.03,144.7,144.7,"52,200,200"
"Apr 7, 2025",141.55,152.85,140.53,146.75,146.75,"76,794,100"
"Apr 4, 2025",148.01,151.07,145.38,145.6,145.6,"62,259,500"
"Apr 3, 2025",151.11,152.78,150.39,150.72,150.72,"46,883,400"
"Apr 2, 2025",155.15,158.41,154.7,157.04,157.04,"25,041,700"
"Apr 1, 2025",153.62,158.1,153.62,157.07,157.07,"30,672,900"
"Mar 31, 2025",153.11,155.54,150.66,154.64,154.64,"54,603,500"
"Mar 28, 2025",160.49,161.82,153.63,154.33,154.33,"48,669,300"
"Mar 27, 2025",164.63,165.42,162,162.24,162.24,"24,508,300"
"Mar 26, 2025",169,169.61,164.84,165.06,165.06,"28,901,600"
"Mar 25, 2025",168.98,170.63,168.32,170.56,170.56,"24,174,400"
"Mar 24, 2025",167.07,168.32,165.14,167.68,167.68,"30,879,100"
"Mar 21, 2025",161.21,164.24,160.89,163.99,163.99,"36,625,800"
"Mar 20, 2025",161.57,164.89,160.96,162.8,162.8,"28,138,500"
"Mar 19, 2025",161.76,165.87,161,163.89,163.89,"34,275,600"
"Mar 18, 2025",163.68,164.25,156.72,160.67,160.67,"42,074,800"
"Mar 17, 2025",165.03,166.3,163.67,164.29,164.29,"31,184,300"
"Mar 14, 2025",163.27,166.49,162.45,165.49,165.49,"31,995,900"
