Date,Open,High,Low,Close,Adj Close,Volume
"May 12, 2025",22.18,22.67,21.88,22.18,22.18,"94,427,300"
"May 9, 2025",21.2,21.45,20.83,21.42,21.42,"51,768,600"
"May 8, 2025",21.01,21.24,20.64,21,21,"71,651,700"
"May 7, 2025",19.97,20.37,19.82,20.31,20.31,"61,002,600"
"May 6, 2025",19.92,20.12,19.77,19.94,19.94,"51,330,800"
"May 5, 2025",20.39,20.58,20.24,20.27,20.27,"44,237,000"
"May 2, 2025",20.26,20.78,20.21,20.62,20.62,"63,298,500"
"May 1, 2025",20.22,20.65,19.94,19.98,19.98,"72,607,500"
"Apr 30, 2025",19.71,20.18,19.55,20.1,20.1,"68,297,300"
"Apr 29, 2025",20.31,20.85,20.22,20.34,20.34,"70,031,900"
"Apr 28, 2025",20.12,21.08,20.05,20.51,20.51,"96,624,400"
"Apr 25, 2025",19.73,20.18,19.34,20.05,20.05,"147,711,200"
"Apr 24, 2025",21.04,21.55,20.88,21.49,21.49,"117,086,200"
"Apr 23, 2025",20.72,21.03,20.31,20.59,20.59,"97,188,100"
"Apr 22, 2025",19.06,19.74,19.04,19.51,19.51,"83,365,600"
"Apr 21, 2025",18.93,18.99,18.25,18.84,18.84,"72,409,900"
"Apr 17, 2025",18.91,19.1,18.56,18.93,18.93,"85,433,400"
"Apr 16, 2025",19.34,19.43,18.72,19.23,19.23,"89,469,700"
"Apr 15, 2025",20.2,20.47,19.81,19.85,19.85,"64,056,900"
"Apr 14, 2025",20.59,21.05,19.98,20.31,20.31,"101,964,400"
"Apr 11, 2025",19.25,19.8,18.18,19.74,19.74,"128,425,800"
"Apr 10, 2025",20.68,20.82,19.16,19.88,19.88,"129,064,900"
"Apr 9, 2025",18.07,21.73,17.98,21.53,21.53,"224,183,500"
"Apr 8, 2025",20.06,20.39,17.67,18.13,18.13,"163,982,700"
"Apr 7, 2025",19.14,20.67,18.56,19.57,19.57,"142,491,200"
"Apr 4, 2025",21.7,22.2,19.7,19.85,19.85,"175,014,700"
"Apr 3, 2025",21.4,23.9,20.86,22.43,22.43,"242,972,100"
"Apr 2, 2025",21.89,22.38,21.7,21.98,21.98,"58,878,800"
"Apr 1, 2025",22.56,22.62,21.66,22.05,22.05,"64,060,400"
"Mar 31, 2025",22.38,22.75,21.75,22.71,22.71,"65,832,000"
"Mar 28, 2025",23.35,23.58,22.56,22.71,22.71,"58,365,300"
"Mar 27, 2025",23.29,23.76,22.86,23.62,23.62,"57,720,600"
"Mar 26, 2025",24.25,24.42,23.25,23.42,23.42,"59,496,700"
"Mar 25, 2025",24.18,24.75,24.11,24.2,24.2,"51,743,300"
"Mar 24, 2025",24.72,24.99,24.13,24.22,24.22,"69,169,000"
"Mar 21, 2025",23.6,24.7,23.49,24.26,24.26,"94,110,700"
"Mar 20, 2025",23.77,24.31,23.73,23.96,23.96,"68,937,600"
"Mar 19, 2025",24.9,25.23,24.03,24.12,24.12,"135,491,400"
"Mar 18, 2025",25.55,26.41,25.39,25.92,25.92,"132,488,800"
"Mar 17, 2025",24.42,26.15,24.37,25.69,25.69,"160,723,600"
"Mar 14, 2025",23.68,24.37,23.52,24.05,24.05,"116,901,600"
"Mar 13, 2025",23.5,24.53,23.13,23.7,23.7,"243,261,000"
"Mar 12, 2025",20.79,21.17,20.21,20.68,20.68,"128,671,100"
"Mar 11, 2025",19.97,20.06,19.29,19.78,19.78,"80,789,000"
"Mar 10, 2025",20.24,20.51,19.65,19.93,19.93,"82,760,600"
"Mar 7, 2025",20.27,21.2,20.11,20.64,20.64,"81,099,600"
"Mar 6, 2025",20.26,21.13,20,20.75,20.75,"96,466,400"
"Mar 5, 2025",21.33,21.36,20.18,20.81,20.81,"127,219,300"
"Mar 4, 2025",22.54,22.63,20.76,21.33,21.33,"152,182,200"
"Mar 3, 2025",25,25.04,22.52,22.74,22.74,"141,348,700"
"Feb 28, 2025",23.02,24.44,22.64,23.73,23.73,"104,133,800"
"Feb 27, 2025",23.7,24.4,23.07,23.09,23.09,"97,871,900"
