Date,Open,High,Low,Close,Adj Close,Volume
"May 12, 2025",35.9,36.24,35.56,36.05,36.05,"21,316,900"
"May 9, 2025",34.1,34.39,33.82,33.86,33.86,"6,691,000"
"May 8, 2025",34.09,34.37,33.68,34.12,34.12,"6,830,800"
"May 7, 2025",33.6,33.92,33.37,33.82,33.82,"6,926,300"
"May 6, 2025",34.04,34.31,33.94,34.06,34.06,"11,487,300"
"May 5, 2025",34.03,34.46,33.95,34.06,34.06,"6,749,300"
"May 2, 2025",34.37,34.65,33.86,34.47,34.47,"12,543,600"
"May 1, 2025",32.78,33.07,32.53,32.85,32.85,"6,796,800"
"Apr 30, 2025",32.58,32.67,31.94,32.62,32.62,"12,113,100"
"Apr 29, 2025",32.99,33.21,32.85,32.88,32.88,"10,406,600"
"Apr 28, 2025",32.6,33.17,32.35,32.7,32.7,"14,246,600"
"Apr 25, 2025",31.99,32.58,31.8,32.53,32.53,"14,425,400"
"Apr 24, 2025",32.32,32.6,31.9,32.47,32.47,"25,415,800"
"Apr 23, 2025",34.22,34.82,33.47,33.56,33.56,"20,795,800"
"Apr 22, 2025",33.88,34.26,33.3,33.67,33.67,"25,811,300"
"Apr 21, 2025",34.16,34.24,33.08,34.06,34.06,"14,714,100"
"Apr 17, 2025",35.58,35.78,34.69,34.72,34.72,"13,869,900"
"Apr 16, 2025",35.93,36.15,35.05,35.33,35.33,"16,172,100"
"Apr 15, 2025",37.76,37.76,37.17,37.44,37.44,"12,425,900"
"Apr 14, 2025",37.72,39.27,37.65,38.18,38.18,"18,710,200"
"Apr 11, 2025",36.24,36.7,35.08,36.42,36.42,"22,648,300"
"Apr 10, 2025",36.03,37.17,34.99,35.58,35.58,"24,546,400"
"Apr 9, 2025",33.38,35.65,33.03,35.08,35.08,"26,784,500"
"Apr 8, 2025",35.71,35.94,32.72,33.02,33.02,"26,493,200"
"Apr 7, 2025",34.42,36.97,33.52,34.92,33.92,"28,861,900"
"Apr 4, 2025",36.4,36.91,34.86,36.81,35.76,"25,781,400"
"Apr 3, 2025",39.29,40.26,39.21,39.9,38.76,"10,969,200"
"Apr 2, 2025",41.22,41.47,40.67,41.09,39.91,"6,850,400"
"Apr 1, 2025",41.31,41.69,41.07,41.32,40.14,"11,027,700"
"Mar 31, 2025",40.86,41.31,40.55,41.12,39.94,"7,232,100"
"Mar 28, 2025",41.99,42.21,41.44,41.58,40.39,"6,737,900"
"Mar 27, 2025",41.99,43.38,41.8,42.89,41.66,"9,563,600"
"Mar 26, 2025",41.84,42.3,41.47,41.78,40.58,"9,373,000"
"Mar 25, 2025",41.75,42.62,41.36,41.47,40.28,"11,454,900"
"Mar 24, 2025",42.52,42.81,42.03,42.57,41.35,"8,128,800"
"Mar 21, 2025",42.08,42.46,41.89,42.24,41.03,"10,837,900"
"Mar 20, 2025",42.58,43.59,42.41,42.98,41.75,"17,561,100"
"Mar 19, 2025",45.28,45.38,44.26,44.83,43.55,"6,523,000"
"Mar 18, 2025",45.67,45.75,44.69,44.92,43.63,"10,885,800"
"Mar 17, 2025",43.42,45.28,43.3,45.21,43.92,"15,971,300"
"Mar 14, 2025",43,43.38,42.68,43.16,41.92,"12,370,500"
"Mar 13, 2025",40.51,42.15,40.49,41.24,40.06,"16,393,200"
"Mar 12, 2025",40.25,40.67,39.62,40.37,39.21,"11,662,000"
"Mar 11, 2025",41.55,41.79,40.36,40.75,39.58,"13,318,500"
"Mar 10, 2025",41.16,41.8,40.2,40.64,39.48,"16,387,300"
"Mar 7, 2025",43.29,43.75,41.75,42.29,41.08,"22,241,500"
"Mar 6, 2025",44.73,46.44,42.69,43.92,42.66,"46,754,400"
"Mar 5, 2025",42.44,43.9,41.92,43.76,42.51,"19,302,200"
"Mar 4, 2025",40.62,41.63,40.31,40.95,39.78,"11,817,500"
"Mar 3, 2025",41.29,41.69,39.96,40.24,39.09,"15,436,500"
"Feb 28, 2025",40.97,41.92,40.9,41.9,40.7,"9,714,300"
"Feb 27, 2025",42.92,43.33,42.04,42.54,41.32,"10,789,800"
