Date,Open,High,Low,Close,Adj Close,Volume
"May 12, 2025",262.9,263.6,258.7,260.05,260.05,"9,595,400"
"May 9, 2025",254.5,255.51,252.34,253.08,253.08,"5,087,600"
"May 8, 2025",251.57,255.88,251.55,253.47,253.47,"8,320,100"
"May 7, 2025",249.85,252.45,248.83,249.39,249.39,"8,724,100"
"May 6, 2025",250,252.65,249,249.25,249.25,"6,369,900"
"May 5, 2025",251.18,255.16,250.59,252.56,252.56,"5,450,700"
"May 2, 2025",251.26,253.62,249.46,252.51,252.51,"7,165,000"
"May 1, 2025",242.84,248.45,242.17,246.89,246.89,"8,689,600"
"Apr 30, 2025",241.21,245.22,238.43,244.62,244.62,"12,991,700"
"Apr 29, 2025",242.19,245.25,241.69,244.62,244.62,"7,216,800"
"Apr 28, 2025",244.56,246.84,240.84,243.22,243.22,"7,394,300"
"Apr 25, 2025",244.65,245.62,241.75,243.55,243.55,"8,588,600"
"Apr 24, 2025",239.74,245.47,237.58,244.64,244.64,"9,055,200"
"Apr 23, 2025",240.22,246.79,240,240.88,240.88,"14,126,800"
"Apr 22, 2025",231.98,235.99,231.37,235.59,235.59,"10,701,400"
"Apr 21, 2025",230.63,231.81,226.34,228.99,228.99,"8,716,200"
"Apr 17, 2025",230.8,234.34,230.55,231.96,231.96,"9,553,800"
"Apr 16, 2025",232,233.58,227.93,229.61,229.61,"9,322,300"
"Apr 15, 2025",236.1,238.65,232.82,233.13,233.13,"10,912,900"
"Apr 14, 2025",237.1,239.78,233.63,234.72,234.72,"13,017,800"
"Apr 11, 2025",226.31,238.58,225,236.2,236.2,"20,284,500"
"Apr 10, 2025",230,230.35,220.1,227.11,227.11,"18,896,400"
"Apr 9, 2025",212.5,237.48,211,234.34,234.34,"24,022,400"
"Apr 8, 2025",223.52,227.84,213.25,216.87,216.87,"19,485,700"
"Apr 7, 2025",205.77,222.05,202.16,214.44,214.44,"22,914,400"
"Apr 4, 2025",215.31,217.7,208.93,210.28,210.28,"27,170,700"
"Apr 3, 2025",234.27,235.14,227.3,228.69,227.29,"17,188,500"
"Apr 2, 2025",241.6,247.25,241.46,245.82,244.32,"7,758,800"
"Apr 1, 2025",242.62,245.69,240.88,243.66,242.17,"8,054,700"
"Mar 31, 2025",239.41,245.86,237.36,245.3,243.8,"13,603,000"
"Mar 28, 2025",246.94,249.51,241.11,242.85,241.36,"11,978,400"
"Mar 27, 2025",249.53,250.64,247.18,248.12,246.6,"8,022,500"
"Mar 26, 2025",252.6,254.67,249.78,251.03,249.49,"12,779,300"
"Mar 25, 2025",249.31,251.82,247.62,251.13,249.59,"9,287,700"
"Mar 24, 2025",245.48,248.69,244.41,248.06,246.54,"9,422,700"
"Mar 21, 2025",237.81,242.3,236.5,241.63,240.15,"19,326,900"
"Mar 20, 2025",236.56,241.76,236.2,239.01,237.55,"8,328,500"
"Mar 19, 2025",235.74,242.33,234.89,239.11,237.65,"10,120,600"
"Mar 18, 2025",234.32,236.17,233.52,234.97,233.53,"10,344,900"
"Mar 17, 2025",231.18,235.67,230.46,233.93,232.5,"9,586,000"
"Mar 14, 2025",228.12,233.14,227.58,232.44,231.02,"11,962,100"
"Mar 13, 2025",229.3,229.5,224.23,225.19,223.81,"16,467,900"
"Mar 12, 2025",234,234.32,227.26,227.9,226.5,"16,054,000"
"Mar 11, 2025",231.75,233.32,226.69,229.14,227.74,"18,143,000"
"Mar 10, 2025",236.21,237.51,228.7,232.22,230.8,"18,887,200"
"Mar 7, 2025",245.23,246.72,239.42,242.28,240.8,"20,498,700"
"Mar 6, 2025",248.11,249.36,243.85,246.54,245.03,"9,983,200"
"Mar 5, 2025",251.25,253.05,247.83,251.53,249.99,"7,861,400"
"Mar 4, 2025",255.28,257.23,245.95,250.25,248.72,"13,465,600"
"Mar 3, 2025",264,266.32,257.82,260.62,259.02,"9,058,300"
"Feb 28, 2025",260.73,264.81,257.89,264.65,263.03,"10,467,100"
"Feb 27, 2025",260.18,263.64,257.86,259.05,257.46,"8,204,400"
"Feb 26, 2025",257.16,260.91,256.93,258.79,257.21,"5,943,600"
"Feb 25, 2025",262.23,263,253.35,257.4,255.82,"9,608,400"
"Feb 24, 2025",265.49,267,258.61,261.34,259.74,"10,372,800"
