Date,Open,High,Low,Close,Adj Close,Volume,
"May 27, 2025",78.42,79.19,78.18,78.48,78.48,"103,373,829",TRUE
"May 23, 2025",78.38,78.98,75.84,77.82,77.82,"265,113,370",TRUE
"May 22, 2025",77.86,78.6,77.32,78.48,78.48,"173,830,624",TRUE
"May 21, 2025",78.08,78.7,77.96,77.98,77.98,"181,142,677",TRUE
"May 20, 2025",76.34,78.02,76,78.02,78.02,"243,945,017",TRUE
"May 19, 2025",74.6,75.84,74.54,75.84,75.84,"98,566,048",TRUE
"May 16, 2025",74.8,75.08,74.52,75,75,"104,857,710",TRUE
"May 15, 2025",74.68,75.04,74.31,74.78,74.78,"132,893,628",TRUE
"May 14, 2025",73.52,74.94,73.44,74.94,74.94,"121,072,846",TRUE
"May 13, 2025",71.7,73.8,71.7,73.4,73.4,"81,960,193",TRUE
"May 12, 2025",73.94,74.28,72.56,73.04,73.04,"96,104,258",TRUE
"May 9, 2025",72.86,73.02,72.5,73.02,73.02,"74,741,640",TRUE
"May 8, 2025",72.68,73.12,72.16,72.64,72.64,"168,990,983",TRUE
"May 7, 2025",71.76,72.6,70.8,72.24,72.24,"137,274,246",TRUE
"May 6, 2025",70.98,71.68,70.58,71.62,71.62,"88,777,942",TRUE
"May 2, 2025",71.44,72.12,69.7,70.58,70.58,"191,448,540",TRUE
"May 1, 2025",72,72.86,71.1,71.34,71.34,"77,820,492",TRUE
"Apr 30, 2025",73.48,73.52,70.34,73.28,73.28,"467,866,561",TRUE
"Apr 29, 2025",73.44,74.04,73.14,73.18,73.18,"109,899,014",TRUE
"Apr 28, 2025",73.08,73.6,72.9,72.9,72.9,"77,187,035",TRUE
"Apr 25, 2025",72.76,73.24,72.44,73,73,"86,609,543",TRUE
"Apr 24, 2025",73.34,73.38,72.3,72.66,72.66,"120,151,468",TRUE
"Apr 23, 2025",72,73.54,72,73.54,73.54,"152,942,297",TRUE
"Apr 22, 2025",70.32,71.4,70.06,71.28,71.28,"197,232,243",TRUE
"Apr 17, 2025",70.96,71.1,66.94,70.32,70.32,"84,202,176",TRUE
"Apr 16, 2025",70.36,71.1,70.02,70.78,70.78,"106,517,222",TRUE
"Apr 15, 2025",68.76,70.96,68.76,70.8,70.8,"115,490,880",TRUE
"Apr 14, 2025",67.96,69,67.54,68.74,68.74,"86,826,609",TRUE
"Apr 11, 2025",66.86,67.48,65.78,66.76,66.76,"398,027,737",TRUE
"Apr 10, 2025",69.24,69.24,66,66.34,66.34,"191,915,978",TRUE
"Apr 9, 2025",64.76,65.79,63.54,64.4,64.38,"180,728,014",TRUE
"Apr 8, 2025",65.14,67.48,64.92,66.32,66.3,"193,350,831",TRUE
"Apr 7, 2025",61.22,67.28,60.78,64.02,64,"334,145,339",TRUE
"Apr 4, 2025",68.62,68.91,63.72,65,64.98,"325,638,829",TRUE
"Apr 3, 2025",70.74,71.42,69.46,69.7,69.68,"167,018,827",TRUE
"Apr 2, 2025",72.34,72.9,71.78,72.46,72.44,"84,774,862",TRUE
"Apr 1, 2025",72.66,73.4,71.94,72.6,72.58,"115,463,759",TRUE
"Mar 31, 2025",72.74,72.92,71.28,72.08,72.06,"138,963,541",TRUE
"Mar 28, 2025",73.44,74.28,73.16,73.4,73.38,"122,117,702",TRUE
"Mar 27, 2025",72.66,74,72.2,74,73.98,"145,705,643",TRUE
"Mar 26, 2025",73.66,74.06,72.98,73.36,73.34,"170,809,473",TRUE
"Mar 25, 2025",72.58,73.62,72.5,73.38,73.36,"154,240,079",TRUE
"Mar 24, 2025",71.22,72.4,71.06,72.36,72.34,"100,425,696",TRUE
"Mar 21, 2025",71,71.28,70,70.58,70.56,"267,646,157",TRUE
"Mar 20, 2025",71.42,71.62,69.9,71.54,71.52,"153,445,921",TRUE
