Date,Open,High,Low,Close,Adj Close,Volume
"May 13, 2025",355.52,358.87,354.58,356.14,356.14,"5,405,300"
"May 12, 2025",359.14,361.89,351.13,355.85,355.26,"7,985,400"
"May 9, 2025",351.83,353.8,350.67,352.54,351.96,"3,086,600"
"May 8, 2025",352,355.33,350.95,351.27,350.69,"4,156,400"
"May 7, 2025",348.7,351.15,347.21,349.85,349.27,"5,454,000"
"May 6, 2025",346.4,349.65,345.76,347.7,347.12,"3,438,500"
"May 5, 2025",347,351.05,346.12,348.64,348.06,"3,865,300"
"May 2, 2025",347.22,350.09,346.12,347.6,347.02,"6,113,700"
"May 1, 2025",345.58,345.72,340.12,342.45,341.88,"5,849,900"
"Apr 30, 2025",334.44,346.52,333.24,345.5,344.93,"9,526,700"
"Apr 29, 2025",338.5,342.27,336.46,341.52,340.95,"5,519,500"
"Apr 28, 2025",336.78,339.34,335.02,337.51,336.95,"5,422,900"
"Apr 25, 2025",334.76,336.37,332.17,335.17,334.61,"4,452,800"
"Apr 24, 2025",333.28,336.77,331.25,335.71,335.15,"8,055,200"
"Apr 23, 2025",337.24,341.25,333.2,334.37,333.82,"8,906,000"
"Apr 22, 2025",323.86,332.56,322.39,331.4,330.85,"5,435,500"
"Apr 21, 2025",329,329.15,316.65,320.1,319.57,"6,362,300"
"Apr 17, 2025",331.07,334.32,328.44,329.61,329.06,"5,655,900"
"Apr 16, 2025",335,337.22,328.86,331.33,330.78,"5,850,600"
"Apr 15, 2025",336.72,339.39,335,335.81,335.25,"4,386,200"
"Apr 14, 2025",336.41,339.61,333.14,335.18,334.62,"5,011,800"
"Apr 11, 2025",324.43,336.98,322.54,333.4,332.85,"6,804,500"
"Apr 10, 2025",328.02,330.16,313.27,324.61,324.07,"8,709,800"
"Apr 9, 2025",305.64,334.03,305.64,332.43,331.88,"11,361,800"
"Apr 8, 2025",322.24,326.28,303.93,308.27,307.76,"9,569,300"
"Apr 7, 2025",302.07,322.18,299,312.32,311.8,"12,163,400"
"Apr 4, 2025",330,334.65,312.12,313.13,312.61,"13,201,700"
"Apr 3, 2025",333.9,344.74,331,339.39,338.83,"8,792,900"
"Apr 2, 2025",343.44,348.2,343.05,346.33,345.76,"5,682,500"
"Apr 1, 2025",350.44,350.45,342.57,346.35,345.78,"7,473,300"
"Mar 31, 2025",339.35,351.86,334.49,350.46,349.88,"9,950,800"
"Mar 28, 2025",349.19,351.62,341.61,342.85,342.28,"5,687,600"
"Mar 27, 2025",344,350.84,343.32,349.86,349.28,"7,254,800"
"Mar 26, 2025",345.99,347.38,343,344.18,343.61,"6,187,100"
"Mar 25, 2025",344.56,345.53,340.67,344.62,344.05,"3,931,200"
"Mar 24, 2025",338.65,345.22,337.65,343.87,343.3,"5,675,100"
"Mar 21, 2025",337.37,339.43,335.52,335.66,335.1,"17,279,700"
"Mar 20, 2025",339,342.24,337.66,339.5,338.94,"5,432,700"
"Mar 19, 2025",336.8,341.03,334.5,339.87,339.31,"5,614,900"
"Mar 18, 2025",335.29,335.8,332.3,334.77,334.21,"7,778,300"
"Mar 17, 2025",330.03,336.11,329.76,334.55,334,"6,149,400"
"Mar 14, 2025",327.21,332.77,326.38,331.8,331.25,"7,810,600"
"Mar 13, 2025",330.99,336.2,327.7,328.55,328.01,"7,915,300"
"Mar 12, 2025",335.97,336.16,329.11,332.84,332.29,"6,295,400"
"Mar 11, 2025",338.41,339.61,329.58,332.14,331.59,"9,776,100"
"Mar 10, 2025",339.94,345.01,337.64,341.48,340.91,"8,204,300"
"Mar 7, 2025",340.87,346.39,339.14,345.32,344.75,"6,358,700"
"Mar 6, 2025",345.96,348.87,340.39,344.16,343.59,"8,611,100"
"Mar 5, 2025",350.83,354.11,348.94,352.68,352.1,"8,244,200"
"Mar 4, 2025",360.11,360.27,350.4,352.23,351.65,"8,955,800"
"Mar 3, 2025",363,366.54,359.54,361.82,361.22,"9,099,600"
"Feb 28, 2025",354.71,364,353.71,362.71,362.11,"15,857,300"
"Feb 27, 2025",351.9,360.31,351.68,355.74,355.15,"7,298,100"
"Feb 26, 2025",350,351.83,348.99,350.63,350.05,"5,960,600"
"Feb 25, 2025",351.37,352.59,346,352.09,351.51,"6,191,900"
"Feb 24, 2025",348.76,350.8,347.36,349.86,349.28,"5,055,900"
"Feb 21, 2025",350.49,353.32,347.48,348.53,347.95,"6,924,100"
"Feb 20, 2025",355.23,356.13,349.06,350.49,349.91,"5,697,000"
"Feb 19, 2025",356.02,357.15,354.18,355.23,354.64,"4,152,300"
"Feb 18, 2025",353.69,356.74,352.4,356.73,356.14,"5,822,000"
"Feb 14, 2025",354.43,355.43,353.22,353.81,353.22,"5,720,300"
"Feb 13, 2025",353.12,356.08,350.73,355.63,355.04,"4,279,200"
"Feb 12, 2025",349.16,351.83,347.49,351.49,350.91,"6,760,100"
"Feb 11, 2025",348.3,352.12,346.25,350.72,350.14,"5,154,800"
"Feb 10, 2025",348.7,351.9,347.7,351.23,350.06,"6,067,000"
"Feb 7, 2025",348,350.75,347.21,348.02,346.86,"4,261,200"
"Feb 6, 2025",349.78,350.65,346.6,347.48,346.32,"4,294,500"
"Feb 5, 2025",346,349.48,345.25,349.44,348.27,"4,939,100"
"Feb 4, 2025",344.6,346.01,342.54,345.15,344,"5,532,600"
"Feb 3, 2025",340,346,339.24,345.82,344.67,"8,004,500"
"Jan 31, 2025",346.47,351.25,341.71,341.8,340.66,"8,628,100"
"Jan 30, 2025",339.51,344.44,339,343.05,341.91,"8,081,300"
"Jan 29, 2025",334.5,337.11,334.5,335.88,334.76,"5,087,300"
"Jan 28, 2025",334.67,337.83,332.89,334.48,333.36,"5,999,600"
"Jan 27, 2025",330,335.49,328.05,334.54,333.42,"6,636,500"
"Jan 24, 2025",328.02,331.09,327.81,330.2,329.1,"4,327,500"
"Jan 23, 2025",323.76,328.51,323.57,328.21,327.12,"5,297,100"
"Jan 22, 2025",324.77,325.74,322.38,323.56,322.48,"5,026,500"
"Jan 21, 2025",320.31,324.58,320,323.63,322.55,"5,653,000"
"Jan 17, 2025",317.5,320.59,316.71,319.62,318.55,"5,805,800"
"Jan 16, 2025",315.75,319.18,315.75,317.25,316.19,"4,606,700"
"Jan 15, 2025",313.68,317.19,313.13,316.28,315.23,"5,222,000"
"Jan 14, 2025",308.75,310.16,307.52,309.09,308.06,"5,107,600"
"Jan 13, 2025",305,306.92,303.84,306.92,305.9,"9,568,400"
"Jan 10, 2025",311.2,311.85,305.99,307.71,306.68,"6,660,100"
"Jan 8, 2025",311,314.04,310.21,312.6,311.56,"5,161,600"
"Jan 7, 2025",312.89,315.19,311.32,311.67,310.63,"4,958,600"
"Jan 6, 2025",315.01,315.39,312.07,313.04,312,"6,567,300"
"Jan 3, 2025",314.18,315.92,312.01,314.91,313.86,"4,271,300"
"Jan 2, 2025",317.78,319.68,312.41,314.4,313.35,"5,369,500"
"Dec 31, 2024",316.12,317.66,315.19,316.04,314.99,"3,963,800"
"Dec 30, 2024",314.68,317.11,313.23,315.31,314.26,"3,478,500"
"Dec 27, 2024",319.27,321.5,317.56,318.66,317.6,"3,489,200"
"Dec 26, 2024",319.77,321.45,319.46,320.91,319.84,"2,856,000"
"Dec 24, 2024",318.17,321.54,317.28,320.65,319.58,"2,684,100"
